date,value
07.05.2018,113.33
08.05.2018,112.25
09.05.2018,111.45
10.05.2018,112.2
11.05.2018,112.06
14.05.2018,110.37
15.05.2018,109.76
16.05.2018,110.09
17.05.2018,110.65
18.05.2018,110.75
21.05.2018,112.81
22.05.2018,113.42
23.05.2018,112.01
24.05.2018,113.14
25.05.2018,113
29.05.2018,112.86
30.05.2018,112.9
31.05.2018,116.1
01.06.2018,115.2
04.06.2018,114.03
05.06.2018,112.11
06.06.2018,110.98
07.06.2018,109.02
08.06.2018,110.89
11.06.2018,111.08
12.06.2018,111.75
13.06.2018,111.31
14.06.2018,110.7
15.06.2018,110.32
18.06.2018,109.53
19.06.2018,109.24
20.06.2018,109.48
21.06.2018,109.1
22.06.2018,109.76
25.06.2018,110
26.06.2018,110.46
27.06.2018,110.23
28.06.2018,108.63
29.06.2018,108.02
02.07.2018,104.79
03.07.2018,105.02
05.07.2018,102.44
06.07.2018,107.09
09.07.2018,107.98
10.07.2018,107.74
11.07.2018,105.16
12.07.2018,104.69
13.07.2018,103.14
16.07.2018,103.52
17.07.2018,102.53
18.07.2018,101.5
19.07.2018,102.11
20.07.2018,103.85
23.07.2018,104.79
24.07.2018,104.13
25.07.2018,104.18
26.07.2018,102.82
27.07.2018,103.66
30.07.2018,104.55
31.07.2018,103.14
01.08.2018,101.41
02.08.2018,100.14
03.08.2018,101.13
06.08.2018,102.06
07.08.2018,102.94
08.08.2018,102.4
09.08.2018,102.78
10.08.2018,102.71
13.08.2018,102.58
14.08.2018,101.83
15.08.2018,99.48
16.08.2018,98.87
17.08.2018,98.26
20.08.2018,94.74
21.08.2018,95.54
22.08.2018,94.7
23.08.2018,95.26
24.08.2018,98.26
27.08.2018,99.25
28.08.2018,96.72
29.08.2018,96.57
30.08.2018,96.34
31.08.2018,95.54
04.09.2018,95.21
05.09.2018,97.42
06.09.2018,95.92
07.09.2018,96.15
10.09.2018,95.03
11.09.2018,94.27
12.09.2018,95.82
13.09.2018,94.46
14.09.2018,93.57
17.09.2018,91.32
18.09.2018,89.96
19.09.2018,90.76
20.09.2018,93.62
21.09.2018,93.76
24.09.2018,92.44
25.09.2018,91.13
26.09.2018,91.74
27.09.2018,93.2
28.09.2018,96.15
01.10.2018,95.92
02.10.2018,101.03
03.10.2018,100.05
04.10.2018,100.38
05.10.2018,102.25
08.10.2018,104.97
09.10.2018,106.19
10.10.2018,105.02
11.10.2018,105.96
12.10.2018,109.39
15.10.2018,112.01
16.10.2018,110.42
17.10.2018,115.02
18.10.2018,114.55
19.10.2018,114.59
22.10.2018,110.42
23.10.2018,113.66
24.10.2018,112.86
25.10.2018,113.7
26.10.2018,112.29
29.10.2018,107.23
30.10.2018,105.49
31.10.2018,105.77
01.11.2018,110.56
02.11.2018,112.67
05.11.2018,109.9
06.11.2018,106.29
07.11.2018,109.22
08.11.2018,110.81
09.11.2018,108.91
12.11.2018,106.27
13.11.2018,105.82
14.11.2018,109.06
15.11.2018,106.8
16.11.2018,109.15
19.11.2018,109.48
20.11.2018,107.84
21.11.2018,107.09
23.11.2018,104.13
26.11.2018,103.99
27.11.2018,106.34
28.11.2018,106.9
29.11.2018,105.4
30.11.2018,100.94
03.12.2018,101.17
04.12.2018,100.33
05.12.2018,99.44
06.12.2018,99.44
07.12.2018,97.7
10.12.2018,98.69
11.12.2018,96.06
12.12.2018,96.72
13.12.2018,97.7
14.12.2018,95.96
17.12.2018,93.95
18.12.2018,93.29
19.12.2018,94.65
20.12.2018,96.2
